epoch,step,val_loss
0,1249,1.6265950202941895
1,2499,1.2027239799499512
2,3749,0.9254639744758606
3,4999,0.7992319464683533
4,6249,0.7167537808418274
5,7499,0.6898444890975952
6,8749,0.5768835544586182
7,9999,0.587679386138916
8,11249,0.6059876680374146
9,12499,0.6490910053253174
10,13749,0.6710246205329895
11,14999,0.7254636883735657
12,16249,0.7140992879867554
13,17499,0.7487059831619263
14,18749,0.8015165328979492
15,19999,0.7417452335357666
16,21249,0.8246023654937744
17,22499,0.8355382084846497
18,23749,0.9001636505126953
19,24999,1.0011721849441528
20,26249,0.8309651613235474
21,27499,0.8686733245849609
22,28749,0.8551985621452332
23,29999,0.885884165763855
24,31249,0.9130129814147949
25,32499,0.9308289289474487
26,33749,0.9611800909042358
27,34999,0.935532808303833
28,36249,0.9578555822372437
29,37499,1.032440423965454
30,38749,0.9918712973594666
31,39999,0.9641892313957214
32,41249,0.9449141621589661
33,42499,0.9981998801231384
34,43749,1.0769743919372559
35,44999,0.9846688508987427
36,46249,0.947365403175354
37,47499,0.9931995272636414
38,48749,0.9787192344665527
39,49999,0.9195219874382019
40,51249,1.0141366720199585
41,52499,1.0144637823104858
42,53749,1.036513328552246
43,54999,1.0049099922180176
44,56249,1.0475494861602783
45,57499,1.0262295007705688
46,58749,1.143090844154358
47,59999,1.0597158670425415
48,61249,1.0790132284164429
49,62499,1.079077124595642
50,63749,1.0040208101272583
51,64999,1.004299283027649
52,66249,1.011107087135315
53,67499,1.064552903175354
54,68749,1.1090680360794067
55,69999,1.017249584197998
56,71249,1.0537011623382568
57,72499,1.0544648170471191
58,73749,1.0606669187545776
59,74999,1.0319968461990356
60,76249,1.0263071060180664
61,77499,1.0407339334487915
62,78749,1.0837643146514893
63,79999,1.141497015953064
64,81249,1.072550892829895
65,82499,1.073194980621338
66,83749,1.1306726932525635
67,84999,1.0727468729019165
68,86249,1.0184050798416138
69,87499,1.064503788948059
70,88749,1.1343337297439575
71,89999,1.0719887018203735
72,91249,1.0653631687164307
73,92499,1.1179842948913574
74,93749,1.0699471235275269
75,94999,1.067290186882019
76,96249,1.1239023208618164
77,97499,1.147369384765625
78,98749,1.1367093324661255
79,99999,1.12108314037323
80,101249,1.1753947734832764
81,102499,1.1544182300567627
82,103749,1.1383835077285767
83,104999,1.1681667566299438
84,106249,1.3352923393249512
85,107499,1.1543974876403809
86,108749,1.162099003791809
87,109999,1.1499269008636475
88,111249,1.1410913467407227
89,112499,1.1124588251113892
90,113749,1.1777827739715576
91,114999,1.153212547302246
92,116249,1.2130645513534546
93,117499,1.1872974634170532
94,118749,1.2356245517730713
