epoch,step,test_loss,val_loss
0,1249,,1.4337279796600342
1,2499,,0.9332149624824524
2,3749,,0.8211374282836914
3,4999,,0.6244823932647705
4,6249,,0.6664412617683411
5,7499,,0.5723980665206909
6,8749,,0.672311007976532
7,9999,,0.6428032517433167
8,11249,,0.6636826395988464
9,12499,,0.7623783349990845
10,13749,,0.7555721402168274
11,14999,,0.8382207155227661
12,16249,,0.7721039652824402
13,17499,,0.8141642808914185
14,18749,,0.7981562614440918
15,19999,,0.8526872992515564
16,21249,,0.8931884765625
17,22499,,0.9217665791511536
18,23749,,0.9122644662857056
19,24999,,0.8386775255203247
20,26249,,0.8761194348335266
21,27499,,0.8600766658782959
22,28749,,0.8735657334327698
23,29999,,0.8608008027076721
24,31249,,0.9058196544647217
25,32499,,0.9108222723007202
26,33749,,0.9359046816825867
27,34999,,0.917786717414856
28,36249,,0.9272228479385376
29,37499,,0.9362214803695679
30,38749,,0.9340699315071106
31,39999,,0.931557834148407
32,41249,,0.9297147393226624
33,42499,,0.9308665990829468
34,43749,,0.8933799862861633
35,44999,,0.8974802494049072
36,46249,,0.9148712158203125
37,47499,,0.9445047974586487
38,48749,,0.9339397549629211
39,49999,,0.9297853708267212
40,51249,,0.9158828854560852
41,52499,,0.928399920463562
42,53749,,0.9342344999313354
43,54999,,0.9422481656074524
44,56249,,0.9573307633399963
45,57499,,0.9721702337265015
46,58749,,0.9629157185554504
47,59999,,0.9703553915023804
48,61249,,0.958757221698761
49,62499,,0.937980055809021
50,63749,,0.9387065172195435
51,64999,,0.9513885974884033
52,66249,,0.9590381979942322
53,67499,,0.9527441263198853
54,68749,,0.9758210778236389
55,69999,,0.9743216633796692
56,71249,,0.9595119953155518
57,72499,,1.027025818824768
58,73749,,0.9961993098258972
59,74999,,0.9636912941932678
60,76249,,0.9753187298774719
61,77499,,0.9819488525390625
62,78749,,1.0032837390899658
63,79999,,0.9759970903396606
64,81249,,0.9676992297172546
65,82499,,0.9680008888244629
66,83749,,0.9841591715812683
67,84999,,0.9726559519767761
68,86249,,0.964611828327179
69,87499,,0.9862326979637146
70,88749,,0.9787063598632812
71,89999,,0.9696364402770996
72,91249,,0.9948042035102844
73,92499,,0.9970820546150208
74,93749,,1.0077663660049438
75,94999,,0.9849120378494263
76,96249,,0.9961739182472229
77,97499,,0.9900678992271423
78,98749,,0.981269896030426
79,99999,,0.9977070093154907
80,101249,,0.9935438632965088
81,102499,,0.9834375977516174
82,103749,,0.9908506870269775
83,104999,,0.9987843036651611
84,106249,,0.9913408160209656
85,107499,,0.9907094836235046
86,108749,,1.0068985223770142
87,109999,,0.9947376847267151
88,111249,,0.981696367263794
89,112499,,1.0072860717773438
90,113749,,1.0011810064315796
91,114999,,0.9906566143035889
92,116249,,1.0176234245300293
93,117499,,1.0166044235229492
94,118749,,1.0109854936599731
95,119999,,1.0012164115905762
96,121249,,1.0145747661590576
97,122499,,1.0156604051589966
98,123749,,1.0151537656784058
99,124999,,0.9992151260375977
100,125000,1.037337064743042,
