epoch,step,val_loss
0,1249,1.4517465829849243
1,2499,0.8643127083778381
2,3749,0.6818331480026245
3,4999,0.6252486109733582
4,6249,0.5826246738433838
5,7499,0.5951147675514221
6,8749,0.6029318571090698
7,9999,0.6588996648788452
8,11249,0.7274832725524902
9,12499,0.6576307415962219
10,13749,1.0815235376358032
11,14999,0.7764948010444641
12,16249,0.7293888926506042
13,17499,0.799207329750061
14,18749,0.7793838977813721
15,19999,0.738935112953186
16,21249,0.7708117961883545
17,22499,0.7485207915306091
18,23749,0.8698268532752991
19,24999,0.7970563769340515
20,26249,0.803256094455719
21,27499,0.9128327369689941
22,28749,0.8975130915641785
23,29999,0.8389086723327637
24,31249,0.8272109627723694
25,32499,0.8365325927734375
26,33749,0.8097540736198425
27,34999,0.9314849376678467
28,36249,0.80631422996521
29,37499,0.8220728635787964
30,38749,0.8512020707130432
31,39999,0.8347634673118591
32,41249,0.8771946430206299
33,42499,0.8482534289360046
34,43749,0.8745303750038147
35,44999,0.9067373871803284
36,46249,0.89834064245224
37,47499,0.8586165308952332
38,48749,0.9309596419334412
39,49999,0.8752804398536682
40,51249,0.8762314319610596
41,52499,0.9168229699134827
42,53749,0.8734546899795532
43,54999,0.8578518629074097
44,56249,0.8847980499267578
45,57499,0.8713799715042114
46,58749,0.8878509998321533
47,59999,0.87119060754776
48,61249,0.8824043869972229
49,62499,0.8616490364074707
50,63749,0.865227460861206
51,64999,0.8553053736686707
